id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
652642.0;1468090.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Passageiro;Lesões Leves;13.0;Masculino;0.0;1.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
652642.0;1468089.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Passageiro;Ileso;17.0;Masculino;1.0;0.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
652642.0;1468084.0;2025-01-01;quarta-feira;20:20:00;RN;101.0;85,7;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras;Ponte";Sim;1173249.0;Automóvel;VW/GOL SPECIAL;2001.0;Condutor;Ileso;34.0;Masculino;1.0;0.0;0.0;0.0;-5,78457455;-35,2464956;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653183.0;1469679.0;2025-01-04;sábado;17:50:00;RN;101.0;72;NATAL;Sim;Desrespeitar a preferência no cruzamento;1;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;1174263.0;Automóvel;GM/CLASSIC SPIRIT;2005.0;Passageiro;Ileso;37.0;Feminino;1.0;0.0;0.0;0.0;-5,69866248;-35,26316835;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653183.0;1469677.0;2025-01-04;sábado;17:50:00;RN;101.0;72;NATAL;Sim;Desrespeitar a preferência no cruzamento;1;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;1174263.0;Automóvel;GM/CLASSIC SPIRIT;2005.0;Passageiro;Ileso;33.0;Masculino;1.0;0.0;0.0;0.0;-5,69866248;-35,26316835;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653183.0;1469675.0;2025-01-04;sábado;17:50:00;RN;101.0;72;NATAL;Sim;Desrespeitar a preferência no cruzamento;1;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;1174263.0;Automóvel;GM/CLASSIC SPIRIT;2005.0;Passageiro;Ileso;62.0;Masculino;1.0;0.0;0.0;0.0;-5,69866248;-35,26316835;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653183.0;1469673.0;2025-01-04;sábado;17:50:00;RN;101.0;72;NATAL;Sim;Desrespeitar a preferência no cruzamento;1;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;1174263.0;Automóvel;GM/CLASSIC SPIRIT;2005.0;Passageiro;Ileso;41.0;Masculino;1.0;0.0;0.0;0.0;-5,69866248;-35,26316835;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653183.0;1469663.0;2025-01-04;sábado;17:50:00;RN;101.0;72;NATAL;Sim;Desrespeitar a preferência no cruzamento;1;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;1174263.0;Automóvel;GM/CLASSIC SPIRIT;2005.0;Condutor;Ileso;38.0;Masculino;1.0;0.0;0.0;0.0;-5,69866248;-35,26316835;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653183.0;1469661.0;2025-01-04;sábado;17:50:00;RN;101.0;72;NATAL;Sim;Desrespeitar a preferência no cruzamento;1;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;1174262.0;Automóvel;VW/GOL 1.0;2010.0;Condutor;Ileso;27.0;Feminino;1.0;0.0;0.0;0.0;-5,69866248;-35,26316835;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653215.0;1471731.0;2025-01-04;sábado;21:00:00;RN;226.0;2;NATAL;Não;Velocidade Incompatível;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;1174305.0;Motocicleta;Não Informado/Não Informado;0.0;Condutor;Não Informado;;Não Informado;0.0;0.0;0.0;0.0;-5,81364934;-35,2466547;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
653215.0;1469732.0;2025-01-04;sábado;21:00:00;RN;226.0;2;NATAL;Não;Velocidade Incompatível;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;;;NA/NA;;Pedestre;Lesões Leves;70.0;Masculino;0.0;1.0;0.0;0.0;-5,81364934;-35,2466547;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
653215.0;1471731.0;2025-01-04;sábado;21:00:00;RN;226.0;2;NATAL;Não;Iluminação deficiente;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;1174305.0;Motocicleta;Não Informado/Não Informado;0.0;Condutor;Não Informado;;Não Informado;0.0;0.0;0.0;0.0;-5,81364934;-35,2466547;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
653215.0;1469732.0;2025-01-04;sábado;21:00:00;RN;226.0;2;NATAL;Não;Iluminação deficiente;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;;;NA/NA;;Pedestre;Lesões Leves;70.0;Masculino;0.0;1.0;0.0;0.0;-5,81364934;-35,2466547;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
653215.0;1471731.0;2025-01-04;sábado;21:00:00;RN;226.0;2;NATAL;Sim;Pedestre andava na pista;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;1174305.0;Motocicleta;Não Informado/Não Informado;0.0;Condutor;Não Informado;;Não Informado;0.0;0.0;0.0;0.0;-5,81364934;-35,2466547;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
653215.0;1469732.0;2025-01-04;sábado;21:00:00;RN;226.0;2;NATAL;Sim;Pedestre andava na pista;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;;;NA/NA;;Pedestre;Lesões Leves;70.0;Masculino;0.0;1.0;0.0;0.0;-5,81364934;-35,2466547;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
653254.0;1469806.0;2025-01-05;domingo;01:20:00;RN;101.0;96;NATAL;Sim;Reação tardia ou ineficiente do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Ignorado;Múltipla;Curva;Sim;1174360.0;Automóvel;TOYOTA/ETIOS HB X;2013.0;Condutor;Lesões Leves;25.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471355.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;4;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175451.0;Caminhonete;FIAT/FIORINO ENDURANCE;2023.0;Condutor;Ileso;36.0;Masculino;1.0;0.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471354.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;4;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175450.0;Motocicleta;YAMAHA/FACTOR YBR125 K;2010.0;Condutor;Lesões Leves;41.0;Masculino;0.0;1.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471355.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;3;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175451.0;Caminhonete;FIAT/FIORINO ENDURANCE;2023.0;Condutor;Ileso;36.0;Masculino;1.0;0.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471354.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;3;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175450.0;Motocicleta;YAMAHA/FACTOR YBR125 K;2010.0;Condutor;Lesões Leves;41.0;Masculino;0.0;1.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471355.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;2;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175451.0;Caminhonete;FIAT/FIORINO ENDURANCE;2023.0;Condutor;Ileso;36.0;Masculino;1.0;0.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471354.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;2;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175450.0;Motocicleta;YAMAHA/FACTOR YBR125 K;2010.0;Condutor;Lesões Leves;41.0;Masculino;0.0;1.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471355.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175451.0;Caminhonete;FIAT/FIORINO ENDURANCE;2023.0;Condutor;Ileso;36.0;Masculino;1.0;0.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653796.0;1471354.0;2025-01-08;quarta-feira;08:30:00;RN;101.0;95,6;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1175450.0;Motocicleta;YAMAHA/FACTOR YBR125 K;2010.0;Condutor;Lesões Leves;41.0;Masculino;0.0;1.0;0.0;0.0;-5,84770142;-35,20849943;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653809.0;1471357.0;2025-01-08;quarta-feira;09:45:00;RN;101.0;95,5;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1175453.0;Automóvel;I/NISSAN TIIDA SEDAN 18F;2012.0;Condutor;Ileso;40.0;Masculino;1.0;0.0;0.0;0.0;-5,84076841;-35,21035949;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653809.0;1471356.0;2025-01-08;quarta-feira;09:45:00;RN;101.0;95,5;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1175452.0;Motocicleta;HONDA/NXR160 BROS ESDD;2020.0;Condutor;Lesões Leves;42.0;Masculino;0.0;1.0;0.0;0.0;-5,84076841;-35,21035949;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653904.0;1471616.0;2025-01-08;quarta-feira;18:55:00;RN;101.0;95;NATAL;Sim;Ausência de reação do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;1175629.0;Automóvel;I/GWM ORA 03 GT BEV63;2024.0;Condutor;Lesões Graves;75.0;Feminino;0.0;0.0;1.0;0.0;-5,84076841;-35,21035949;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
653977.0;1471884.0;2025-01-09;quinta-feira;06:45:00;RN;101.0;81;NATAL;Sim;Ausência de reação do condutor;2;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1175826.0;Motocicleta;Não Informado/Não Informado;0.0;Condutor;Ileso;;Masculino;1.0;0.0;0.0;0.0;-5,76469466;-35,28295988;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653977.0;1471883.0;2025-01-09;quinta-feira;06:45:00;RN;101.0;81;NATAL;Sim;Ausência de reação do condutor;2;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1175824.0;Motocicleta;HONDA/POP 110I;2022.0;Condutor;Lesões Leves;34.0;Masculino;0.0;1.0;0.0;0.0;-5,76469466;-35,28295988;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653977.0;1471884.0;2025-01-09;quinta-feira;06:45:00;RN;101.0;81;NATAL;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1175826.0;Motocicleta;Não Informado/Não Informado;0.0;Condutor;Ileso;;Masculino;1.0;0.0;0.0;0.0;-5,76469466;-35,28295988;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
653977.0;1471883.0;2025-01-09;quinta-feira;06:45:00;RN;101.0;81;NATAL;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1175824.0;Motocicleta;HONDA/POP 110I;2022.0;Condutor;Lesões Leves;34.0;Masculino;0.0;1.0;0.0;0.0;-5,76469466;-35,28295988;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
654090.0;1472044.0;2025-01-09;quinta-feira;19:39:00;RN;101.0;96;NATAL;Sim;Pedestre cruzava a pista fora da faixa;3;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;1175935.0;Motocicleta;HONDA/XRE 300;2015.0;Condutor;Lesões Leves;38.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654090.0;1472045.0;2025-01-09;quinta-feira;19:39:00;RN;101.0;96;NATAL;Sim;Pedestre cruzava a pista fora da faixa;3;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;;;NA/NA;;Pedestre;Lesões Leves;26.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654090.0;1472044.0;2025-01-09;quinta-feira;19:39:00;RN;101.0;96;NATAL;Sim;Pedestre cruzava a pista fora da faixa;2;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;1175935.0;Motocicleta;HONDA/XRE 300;2015.0;Condutor;Lesões Leves;38.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654090.0;1472045.0;2025-01-09;quinta-feira;19:39:00;RN;101.0;96;NATAL;Sim;Pedestre cruzava a pista fora da faixa;2;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;;;NA/NA;;Pedestre;Lesões Leves;26.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654090.0;1472044.0;2025-01-09;quinta-feira;19:39:00;RN;101.0;96;NATAL;Sim;Pedestre cruzava a pista fora da faixa;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;1175935.0;Motocicleta;HONDA/XRE 300;2015.0;Condutor;Lesões Leves;38.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654090.0;1472045.0;2025-01-09;quinta-feira;19:39:00;RN;101.0;96;NATAL;Sim;Pedestre cruzava a pista fora da faixa;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;;;NA/NA;;Pedestre;Lesões Leves;26.0;Masculino;0.0;1.0;0.0;0.0;-5,84949622;-35,20890752;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654716.0;1473818.0;2025-01-12;domingo;21:20:00;RN;101.0;99;NATAL;Sim;Ausência de reação do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;1177094.0;Ônibus;VOLKS/COMIL PIA M;2003.0;Condutor;Ileso;63.0;Masculino;1.0;0.0;0.0;0.0;-5,87359183;-35,22063023;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654716.0;1473819.0;2025-01-12;domingo;21:20:00;RN;101.0;99;NATAL;Sim;Ausência de reação do condutor;1;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;1177095.0;Motocicleta;YAMAHA/NMAX;2017.0;Condutor;Lesões Leves;31.0;Masculino;0.0;1.0;0.0;0.0;-5,87359183;-35,22063023;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654830.0;1474226.0;2025-01-13;segunda-feira;11:04:00;RN;101.0;97;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;2;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1177372.0;Motocicleta;YAMAHA/YBR150 FACTOR ED;2024.0;Condutor;Lesões Leves;34.0;Masculino;0.0;1.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654830.0;1474224.0;2025-01-13;segunda-feira;11:04:00;RN;101.0;97;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;2;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1177371.0;Automóvel;HYUNDAI/HB20 1.0M COMFOR;2016.0;Condutor;Ileso;40.0;Masculino;1.0;0.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654830.0;1474226.0;2025-01-13;segunda-feira;11:04:00;RN;101.0;97;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1177372.0;Motocicleta;YAMAHA/YBR150 FACTOR ED;2024.0;Condutor;Lesões Leves;34.0;Masculino;0.0;1.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654830.0;1474224.0;2025-01-13;segunda-feira;11:04:00;RN;101.0;97;NATAL;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1177371.0;Automóvel;HYUNDAI/HB20 1.0M COMFOR;2016.0;Condutor;Ileso;40.0;Masculino;1.0;0.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654975.0;1474555.0;2025-01-14;terça-feira;07:53:00;RN;101.0;97;NATAL;Não;Trafegar com motocicleta (ou similar) entre as faixas;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1177585.0;Motocicleta;YAMAHA/YBR150 FACTOR ED;2021.0;Condutor;Lesões Leves;32.0;Masculino;0.0;1.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654975.0;1474553.0;2025-01-14;terça-feira;07:53:00;RN;101.0;97;NATAL;Não;Trafegar com motocicleta (ou similar) entre as faixas;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1177583.0;Automóvel;HYUNDAI/HB20S 1.6M COMF;2015.0;Condutor;Ileso;29.0;Masculino;1.0;0.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654975.0;1474556.0;2025-01-14;terça-feira;07:53:00;RN;101.0;97;NATAL;Não;Trafegar com motocicleta (ou similar) entre as faixas;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1177586.0;Motocicleta;JTZ/DK150;2024.0;Condutor;Lesões Leves;49.0;Masculino;0.0;1.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654975.0;1474555.0;2025-01-14;terça-feira;07:53:00;RN;101.0;97;NATAL;Não;Trafegar com motocicleta (ou similar) entre as faixas;2;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1177585.0;Motocicleta;YAMAHA/YBR150 FACTOR ED;2021.0;Condutor;Lesões Leves;32.0;Masculino;0.0;1.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
654975.0;1474553.0;2025-01-14;terça-feira;07:53:00;RN;101.0;97;NATAL;Não;Trafegar com motocicleta (ou similar) entre as faixas;2;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1177583.0;Automóvel;HYUNDAI/HB20S 1.6M COMF;2015.0;Condutor;Ileso;29.0;Masculino;1.0;0.0;0.0;0.0;-5,85758898;-35,21271205;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
